stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
n9300383986,,Vypin Jetty,,9.9738817,76.2446089,,,0,,,0
n9300383987,,Fort Kochi Junkar Jetty,,9.9686059,76.2450682,,,0,,,0
n9300383988,,Fort Kochi,,9.9691159,76.2518633,,,0,,,0
n9300383994,,Embarkation Jetty,,9.9700962,76.2621925,,,0,,,0
n9300384000,,Ernakulam,,9.972617,76.2780701,,,0,,,0
n9300384001,,Ernakulam,,9.9722927,76.2782358,,,0,,,0
n9300974346,,Geethanjali Junction,,9.9842567,76.3165873,,,0,,,0
n9300974347,,Chakkaraparambu,,9.9892625,76.3157384,,,0,,,0
n9300974350,,Pipeline Junction,,10.0051253,76.3128202,,,0,,,0
n9300974351,,Pipeline Junction,,10.0048667,76.3118824,,,0,,,0
n9300974353,,Palarivattom,,10.0027024,76.3063306,,,0,,,0
n9300974354,,Janatha,,10.0016273,76.3024239,,,0,,,0
n9300974355,,Janatha,,9.9679405,76.3129751,,,0,,,0
n9300974357,,Manapattyparambu,,9.9922039,76.2891752,,,0,,,0
n9300974358,,Town Hall,,9.9911478,76.2879309,,,0,,,0
n9300974362,,Manorama Junction,,9.9655936,76.2946941,,,0,,,0
n9300974365,,Vyttila Devaswom Board,,9.9665867,76.3192736,,,0,,,0
n9301209740,,Kumbalangi,,9.8514371,76.2940916,,,0,,,0
n9301209741,,Kumbalangi South,,9.8540837,76.2939187,,,0,,,0
n9301209742,,NKN Hospital,,9.8585227,76.2928867,,,0,,,0
n9301209743,,Pazhangadu,,9.8630012,76.2920572,,,0,,,0
n9301209744,,Priyadarshini,,9.8690473,76.2909199,,,0,,,0
n9301209746,,[stop],,9.8751818,76.2891557,,,0,,,0
n9301209747,,Illikal,,9.8829903,76.2869864,,,0,,,0
n9301209748,,Old Post Office,,9.8878959,76.2860852,,,0,,,0
n9301209749,,Kumbalagi North,,9.8914905,76.2852441,,,0,,,0
n9301209750,,Koyabazar,,9.8939498,76.2845993,,,0,,,0
n9301209751,,[stop],,9.8983911,76.2836445,,,0,,,0
n9301209752,,Perumpadappu,,9.9034485,76.2818178,,,0,,,0
n9301209753,,Koventha Junction,,9.9093274,76.2800918,,,0,,,0
n9301209755,,Ajantha,,9.9522166,76.2477994,,,0,,,0
n9309110535,,Janatha,,10.0013896,76.302385,,,0,,,0
n9309110549,,Karakkat Junction,,9.9703912,76.287154,,,0,,,0
n9309110551,,Palarivattom,,10.0022913,76.3062829,,,0,,,0
n9309110552,,Pipeline Junction,,9.996657,76.3078902,,,0,,,0
n9309110553,,Pallinda,,9.9927925,76.3085953,,,0,,,0
n9309110554,,Thammanam Junction,,9.98603,76.3110352,,,0,,,0
n9310003823,,Maharajas Hostel,,9.9720827,76.2842681,,,0,,,0
n9310076225,,Government School Pady,,9.975507,76.242148,,,0,,,0
n9310076226,,Government School Pady,,9.975649,76.2421641,,,0,,,0
n9310076227,,Malippuram,,10.0207403,76.2248464,,,0,,,0
n9310076228,,Malippuram,,10.0209932,76.2248564,,,0,,,0
n9310410929,,[stop],,9.8751039,76.2890685,,,0,,,0
n9310410935,,Kumbalangi Vazhi,,9.9137319,76.2789278,,,0,,,0
n9310410936,,Kumbalangi Vazhi,,9.9139274,76.2789258,,,0,,,0
n9310410937,,Kumbalangi Vazhi,,9.9138178,76.2787065,,,0,,,0
n9310410938,,[stop],,9.9122866,76.2791947,,,0,,,0
n9310410939,,[stop],,9.9123355,76.279263,,,0,,,0
n9310410941,,Koventha Junction,,9.9089165,76.2801079,,,0,,,0
