stop_point_id,name,latitude,longitude,local_ref,wheelchair,shelter
n7318426735,Areekal,10.1869809,76.3958641,,,no
n7318526551,IOC,9.9637667,76.3743569,,,yes
n7318684969,Thiruvankulam Panchayat,9.9459926,76.3683807,,,yes
n7331575715,Vadakkekotta,9.9517694,76.3405789,,,yes
n7385356083,Thirumuppam,10.0920449,76.2665516,,,
n7413964049,Thottakkattukara,10.1137435,76.3461772,,,yes
n7448218411,Pattimattom,10.0244747,76.4496933,,,no
n7452971120,Thekke Kavala,10.021099,76.4480792,,,no
n7456890945,Kizhakkambalam Market,10.0375076,76.4108856,,,
n7459381031,Kundanoor Junction,9.9369963,76.318618,,,yes
n7463839813,Sharipadi,9.9677784,76.3393846,,,no
n7464400088,Palluruthy Veli,9.9200586,76.2741794,,,yes
n7465152253,Kanjirakkad,10.127487,76.4727935,,,yes
n7465152254,Kanjirakkad,10.1266778,76.4731791,,,no
n7465185329,Civil Station,10.1175072,76.4802381,,,yes
n7465185348,Kalady Junction,10.116796,76.4759331,,,no
n7465185358,Kolancheri Kavala,10.113796,76.4755196,,,no
n7465359344,KSRTC Stand,10.1950542,76.3861334,,,yes
n7465374247,Companypady,10.0886248,76.3435051,,,
n7466613954,Railway Station,9.9468433,76.3533759,,,yes
n7466807493,Puthiyakavu Valavu,9.9238681,76.3567448,,,yes
n7466853226,Valiyakulam,9.9063352,76.3671886,,,
n7467524503,Pallippady,10.130859,76.4704296,,,yes
n7467524505,Vallam,10.1354258,76.4678788,,,no
n7467524506,Vallam,10.1357093,76.4677733,,,no
n7467762617,Okkal,10.1521062,76.4509497,,,no
n7467896054,Garage KSRTC,10.0925134,76.3456958,,,yes
n7469340151,Municipal Town Hall,10.0445434,76.3176445,,,yes
n7469340152,Municipal Town Hall,10.0444958,76.3173399,,,yes
n7470223494,Pattimattom,10.0253203,76.4495905,,,no
n7470346828,Millupadi,10.1830286,76.410128,,,yes
n7471960664,Punnakkal,10.0193095,76.2913756,,,no
n7472799221,Pipeline,10.0332714,76.3252333,,,yes
n7474632252,Thrikathra,9.9851335,76.3520683,,,no
n7475629998,kozhivettomvely,9.9841118,76.3300749,,,no
n7475665490,Edakochi,9.895076,76.2960318,,,yes
n7482407130,Vadavucode,9.9853899,76.4287921,,,yes
n7482407516,Kavumthazham,9.9712285,76.4268251,,,yes
n7484079347,Convent,10.163079,76.434859,,,yes
n7485838122,Kizhakkambalam Market,10.0374354,76.4106832,,,
n7489020806,Chethicode,10.1635186,76.405786,,,yes
n7489223443,Atlas,10.1639513,76.4018501,,,no
n7489965846,Twenty 20 Nagar,10.0392189,76.4048565,,,no
n7492238746,Wire Ropes Junction,10.0620654,76.3952404,,,no
n7496688161,GTN Junction,10.0892327,76.3878175,,,no
n7500481958,Chullikkal,9.9450121,76.2579477,,,yes
n7500983389,Edappally,10.0222975,76.3065773,,,yes
n7500983390,Edapally Palli,10.0208021,76.3059307,,,yes
n7505440803,NGO Quarters,10.0209151,76.3350043,,,no
n7505440821,Kakkanad District Hospital,10.0180856,76.3458115,,,
n7506974638,Vazhappilly,10.0636633,76.2772205,,,
n7518994084,Chengamanad,10.1535609,76.340438,,,no
n7528686109,karakkattukkunnu,10.1676311,76.3548157,,,
